,title,goal,area,time,fee,reward,required,notes
0,Mountain Herb Picking,Deliver 5 Mountain Herbs.,Snowy Mountains (Day),50mins,0z,300z,Not Required,No Info
1,An Anteka in the Snow,Deliver 3 Anteka Antlers.,Snowy Mountains (Day),50mins,0z,300z,Not Required,No Info
2,Hunt the Carnivore,Slay 5 Giaprey.,Snowy Mountains (Day),50mins,0z,300z,Required for next Urgent,No Info
3,Sinking Feeling,Deliver 3 Popo Tongues.,Snowy Mountains (Night),20mins,0z,300z,Required for next Urgent,No Info
4,Slay the Blangos,Slay 3 Blangos.,Snowy Mountains (Night),50mins,0z,300z,Required for next Urgent,No Info
5,Gathering ,Deliver the Paw Pass Ticket,Snowy Mountains (Day),50mins,0z,12z,Not Required,No Info
6,Gathering ,Deliver the Paw Pass Ticket,Jungle (Day),50mins,0z,12z,Not Required,No Info
7,Gathering ,Deliver the Paw Pass Ticket,Desert (Day),50mins,0z,12z,Not Required,No Info
8,The Carnivorous Leader,Hunt the Giadrome,Snowy Mountains (Day),50mins,150z,900z,Not Required,No Info
9,Reckless Bulldrome Hunter,Hunt the Bulldrome,Snowy Mountains (Day),50mins,200z,1200z,Required for next Urgent,No Info
10,Slay the Giaprey,Slay 20 Giaprey,Snowy Mountains (Day),50mins,150z,900z,Not Required,No Info
11,The Pack of Blangos,Slay 5 Blango,Snowy Mountains (Night),50mins,150z,900z,Not Required,No Info
12,The Taboo of Negligence,Deliver 15 Mountain Herbs,Snowy Mountains (Night),20mins,150z,900z,Not Required,No Info
13,Hunt Down the Velocidrome,Hunt the Velocidrome,Jungle (Day),50mins,150z,900z,Not Required,No Info
14,Jungle Menace,Hunt the Yian Kut-Ku,Jungle (Night),50mins,250z,1500z,Required for next Urgent,No Info
15,Rarest of the Rare Beasts,Hunt the Congalala,Jungle (Night),50mins,250z,1500z,Required for next Urgent,No Info
16,Hunt the Rare Forest Congas,Slay 10 Congas,Jungle (Day),50mins,150z,900z,Not Required,No Info
17,Attack of the Giant Bugs,Slay 20 Vespoids,Jungle (Day),50mins,150z,900z,Not Required,No Info
18,Collect to Combine,Deliver 10 Special Mushrooms,Jungle (Day),50mins,150z,900z,Not Required,No Info
19,Hunt the Gendrome,Hunt the Gendrome,Desert (Day),50mins,150z,900z,Not Required,No Info
20,The Land Shark,Hunt the Cephadrome,Desert (Day),50mins,200z,1200z,Not Required,No Info
21,Liver of Legend,Deliver 3 Piscine Livers,Desert (Day),50mins,200z,1200z,Required for next Urgent,No Info
22,Gone Fishin,Deliver 2 Goldenfish,Desert (Day),50mins,150z,900z,Not Required,No Info
23,Gathering ,Deliver the Paw Pass Ticket,Swamp(Day),50mins,0z,12z,Not Required,No Info
24,Gathering ,Deliver the Paw Pass Ticket,Forest & Hills (Day),50mins,0z,12z,Not Required,No Info
25,Shadow in the Snow,Hunt the Khezu,Snowy Mountains (Day),50mins,350z,2100z,Not Required,No Info
26,The Subterranean Glutton,Deliver 3 Khezu Whelps,Snowy Mountains (Night),50mins,200z,1200z,Not Required,No Info
27,Blango Slaying Tactics,Slay 10 Blangos,Snowy Mountains (Night),50mins,150z,900z,Required for next Urgent,No Info
28,Aim for the Jungle Crab,Hunt the Daimyo Hermitaur,Jungle (Night),50mins,300z,1800z,Not Required,"Clear ""The Lurking Desert Giant"" to unlock"
29,Master of the Giant Lake,Hunt the Green Plesioth,Jungle (Night),50mins,400z,2400z,Not Required,"Clear ""Water Wyvern in the Desert"" to unlock"
30,A Swarm of Hermitaurs,Slay 10 Hermitaurs,Jungle (Day),50mins,150z,900z,Not Required,No Info
31,The Purple Poison Menace,Hunt the Purple Gypceros,Jungle (Night),50mins,350z,2100z,Not Required,"Clear ""Gypceros: Venomous Terror"" to unlock"
32,The Lurking Desert Giant,Hunt the Daimyo Hermitaur,Desert (Day),50mins,300z,1800z,Required for next Urgent,No Info
33,Water Wyvern in the Desert,Hunt the Plesioth,Desert (Day),50mins,350z,2100z,Not Required,No Info
34,Slay the Genprey,Slay 20 Genprey,Desert (Day),50mins,150z,900zz,Not Required,No Info
35,Gypceros,Hunt the Gypceros,Swamp (Night),50mins,300z,1800z,Required for next Urgent,No Info
36,Attack of the Blue Kut,Hunt the Blue Yian Kut-Ku,Swamp (Night),50mins,300z,1800z,Not Required,No Info
37,The Mischief,Hunt the Congalala,Swamp (Day),50mins,250z,1500z,Not Required,No Info
38,Fang of the Iodrome,Hunt the Iodrome,Swamp (Day),50mins,200z,1200z,Not Required,No Info
39,Slay the Great Kut,Hunt the Yian Kut-Ku,Forest & Hills (Day),50mins,250z,1500z,Not Required,No Info
