id,title,goal,area,time,fee,reward,notes
0,A True Foe - The Giadrome!,Hunt the Giadrome,Snowy Mountains (Day),50mins,100z,1200z,No Info
1,Reckless Bulldrome Hunter,Hunt the Bulldrome,Snowy Mountains (Night),50mins,100z,1500z,No Info
2,A Pack of Blangos,Slay 15 Blangos,Snowy Mountains (Day),50mins,100z,900z,Bulldrome is present
3,Mountain Herb Picking,Deliver 20 Mountain Herbs,Snowy Mountains (Night),50mins,100z,900z,Bulldrome is present
4,Rarest of Rare Beasts,Hunt the Congalala,Jungle (Night),50mins,150z,1800z,No Info
5,Hunt the Rare Forest Congas!,Slay 15 Congas,Jungle (Day),50mins,100z,900z,Velocidrome is present
6,A Mushroom Goldrush,Deliver 20 Special Mushrooms,Jungle (Day),50mins,100z,900z,Velocidrome is present
7,The Land Shark,Hunt the Cephadrome,Desert (Night),50mins,150z,1800z,No Info
8,The Giant Enemy Crab,Hunt the Daimyo Hermitaur,Desert (Day),50mins,180z,2100z,No Info
9,The Lady Gourmet,Deliver 8 Piscine Livers,Desert (Day),50mins,100z,900z,Gendrome is present
10,The Shadow in the Mountains,Hunt the Khezu,Snowy Mountains (Night),50mins,180z,2100z,No Info
11,The King of the Mountains,Hunt the Blangonga,Snowy Mountains (Day),50mins,200z,2400z,No Info
12,A Swarm of Hermitaurs,Slay 10 Hermitaurs,Jungle (Day),50mins,100z,900z,Congalala is present
13,Water Wyvern in the Desert,Hunt the Plesioth,Desert (Day),50mins,200z,2400z,No Info
14,Gypceros: Venomous Terror,Hunt the Gypceros,Swamp (Day),50mins,180z,2100z,No Info
15,Supreme Ruler of the Swamp,Hunt the Shogun Ceanataur,Swamp (Night),50mins,220z,2700z,No Info
16,Slay the Great Kut-Ku!,Hunt the Yian Kut-Ku,Forest & Hills (Day),50mins,180z,2100z,No Info
17,Hunt the Rathalos!,Hunt the Rathalos,Forest & Hills (Day),50mins,250z,3000z,"Appears after ""Shadow in the Snow"" Village Elder 3* Quest"
18,Attack of the Rathian,Hunt the Rathian,Jungle (Day),50mins,250z,3000z,"Appears after ""Shadow in the Snow"" Village Elder 3* Urgent Quest"
19,Gathering - Snowy Mountains,Time Over or Deliver the Paw Pass Ticket,Snowy Mountains (Day),50mins,0z,12z,No Info
20,Gathering - Jungle Zone,Time Over or Deliver the Paw Pass Ticket,Jungle (Day),50mins,0z,12z,No Info
21,Gathering - Desert Zone,Time Over or Deliver the Paw Pass Ticket,Desert (Day),50mins,0z,12z,No Info
22,Giadrome Assault (Key Quest),Hunt the Giadrome,Snowy Mountains (Night),50mins,200z,2400z,Required for next Urgent
23,The Mountain Roughrider,Hunt the Bulldrome,Snowy Mountains (Day),50mins,220z,2700z,No Info
24,Slay the Giaprey!,Slay 20 Giapreys,Snowy Mountains (Day),50mins,150z,2100z,Giadrome is present
25,Find the Mountain Herbs!,Deliver 20 Mountain Herbs,Snowy Mountains (Night),50mins,150z,2100z,Bulldrome is present
26,Hunt Down the Velocidrome!,Hunt the Velocidrome,Jungle (Night),50mins,200z,2400z,No Info
27,Blue Menace of the Jungle,Hunt the Blue Yian Kut-Ku,Jungle (Day),50mins,300z,3600z,"Clear ""Attack of the Yian Kut-Ku"" to unlock"
28,Cunning Raiders,Slay 20 Velocipreys,Jungle (Night),50mins,150z,2100z,Velocidrome is present
29,Attack of the Giant Bugs!,Slay 50 Vespoids,Jungle (Night),50mins,150z,2100z,No Info
30,The Mushroom Hunt!,Deliver 20 Special Mushrooms,Jungle (Night),50mins,150z,2100z,Congalala is present
31,Panning for Goldenfish,Deliver 3 Goldenfish,Jungle (Day),50mins,150z,2100z,Daimyo Hermitaur is present
32,Hunt the Gendrome!,Hunt the Gendrome,Desert (Day),50mins,200z,2400z,No Info
33,The Land Shark (Key Quest),Hunt the Cephadrome,Desert (Night),50mins,220z,2700z,Required for next Urgent
34,The Lurking Desert Giant (Key Quest),Hunt the Daimyo Hermitaur,Desert (Day),50mins,350z,4200z,Required for next Urgent
35,Slay the Genprey!,Slay 20 Genprey,Desert (Day),50mins,150z,2100z,Gendrome is present
36,Liver of Legend!,Deliver 10 Piscine Livers,Desert (Day),50mins,150z,2100z,Gendrome is present
37,Gone Fishin',Deliver 3 Goldenfish,Desert (Day),50mins,150z,2100z,Gendrome is present
38,Attack of the Yian Kut-Ku,Hunt the Yian Kut-Ku,Swamp (Day),50mins,250z,3000z,No Info
39,Charge... Charge... Charge! (Key Quest),Hunt the Bulldrome,Swamp (Day),50mins,220z,2700z,No Info
40,The Mischief Maker (Key Quest),Hunt the Congalala,Swamp (Night),50mins,350z,4200z,Required for next Urgent
41,The Ruler of the Snow,Hunt the Blangonga,Snowy Mountains (Night),50mins,500z,6000z,Unlocks LV★★★★ quests; HR2 Rank-Up
42,Gathering-Swamp Zone,Time Over or Deliver the Paw Pass Ticket,Swamp (Day),50mins,0z,12z,No Info
43,Gathering-Forest and Hills,Time Over or Deliver the Paw Pass Ticket,Forest & Hills (Day),50mins,0z,12z,No Info
44,Gathering-Volcanic Zone,Time Over or Deliver the Paw Pass Ticket,Volcano (Day),50mins,0z,12z,No Info
45,The Ruler of the Snow,Hunt the Blangonga,Snowy Mountains (Night),50mins,500z,6000z,Urgent quest for unlocking LV★★★★
46,The Shadow in the Cave,Hunt the Khezu,Swamp (Night),50mins,450z,5400z,No Info
47,Red Shadow in the Snow,Hunt the Red Khezu,Snowy Mountains (Day),50mins,450z,5400z,"Clear ""The Shadow in the Cave"" to unlock"
48,Blango Slaying Tactics,Slay 20 Blangos,Snowy Mountains (Day),50mins,250z,3000z,Blangonga is present
49,The Subterranean Glutton,Deliver 5 Khezu Whelps,Snowy Mountains (Night),50mins,250z,3000z,Giadrome is present
50,Master of the Giant Lake,Hunt the Plesioth,Jungle (Night),50mins,450z,5400z,Required for next Urgent
51,The Pink Fur Party,Slay 20 Congas,Jungle (Day),50mins,250z,3000z,Congalala is present
52,The Hidden Jungle Clouds,Slay 50 Hornetaurs,Jungle (Night),50mins,250z,3000z,Daimyo Hermitaur is present
53,The Underwater Terror,Hunt the Green Plesioth,Desert (Day),50mins,500z,6000z,"Clear ""Master of the Giant Lake"" to unlock"
54,Evening Hermitaur Sonata,Slay 20 Hermitaurs,Desert (Night),50mins,250z,3000z,Required for next Urgent
55,The Purple Poison Menace,Hunt the Purple Gypceros,Swamp (Night),50mins,420z,5100z,"Clear ""Chase the Poison Gypceros!"" to unlock"
56,Pincer through the Sky,Hunt the Shogun Ceanataur,Swamp (Day),50mins,500z,6000z,Required for next Urgent
57,Chase the Poison Gypceros!,Hunt the Gypceros,Swamp (Day),50mins,400z,4800z,No Info
58,Trouble in the Forest,Slay 20 Bullfangos,Forest & Hills (Day),50mins,350z,4200z,Required for next Urgent
59,Seeking the Strange Mask,Slay 10 Shakalakas,Forest & Hills (Day),50mins,250z,3000z,Blue Kut-Ku is present
