,name,description,found,value,rarity
0,Potion,Restores a small amount of health.,Combine Herb and Blue Mushroom or buy it in the shop or the guild shoppe,7z,1
1,Mega Potion,Restores a moderate amount of health.,Combine Potion and Honey,16z,2
2,Nutrients,Increases the maximum Health level slightly.,Combine Godbug and Blue Mushroom,25z,2
3,Mega Nutrients,Medicine that increases the maximum Health level by a small amount.,Combine Nutrients and Honey,92z,3
4,Antidote,Effectively removes all traces of poison from your system.,Combine Antidote Herb and Blue Mushroom or buy it,6z,1
5,Immunizer,Medicine that enhances natural recovery ability.,Combine Catalyst and Dragon Toadstool,92z,3
6,Power Juice,Allows you to run without becoming fatigued for a period of time.,Combine Rare Steak and Catalyst,29z,2
7,Mega Juice,Allows you to run without fatigue for even longer than Power Juice.,Combine Well-Done Steak and Power Extract,205z,3
8,Demondrug,"Increases Attack power, bestowing the strength of Asura himself on user.",Combine Power Seed and Catalyst,67z,4
9,Mega Demondrug,Increases Attack power even more than Demondrug.,Combine Demondrug and Pale Extract,283z,5
10,Power Pill,A strengthening pill that endows you with the power of a fierce god.,Check combine list,280z,1
11,Armorskin,Increases Defense by hardening your skin to stone-like armor.,Combine Catalyst and Armor Seed,58z,4
12,Mega Armorskin,Increases defense even more than Armorskin.,Combine Armorskin and Pale Extract,269z,5
13,Armor Pill,A pill that temporarily makes your skin as hard as metal.,Check combine list,260z,1
14,Cool Drink,A drink that bestows temporary resistance to extreme heat.,Combine a Bitterbug and Ice Crystal or buy it,30z,1
15,Hot Drink,A drink that bestows temporary resistance to extreme cold.,Combine Hot Pepper and Bitterbug or buy it,25z,1
16,Thawing Agent,A chemical agent that melts away the frozen tundra in the soul.,Combine Fire Herb and Rumblefish.,10z,1
17,Psychoserum,Temporarily activates an psychic ability to sense Wyverns.,Store bought. Combine Catcus Flower and Thunderbug,30z,3
18,Herbal Medicine,"Effectively cures poison, and restores a slight amount of Health.",Combine Cactus Flower and Bitterbug,25z,2
19,Max Potion,"Restores Health to the maximum level, enabling a full recovery.",Combine Mega Nutrients and Dragon Toadstool. Common reward from Kirin quests,210z,3
20,Ancient Potion,"Restores Health and Stamina to maximum levels, enabling a full recovery.",Check combine list,345z,5
21,Energy Drink,Recovers Stamina and cures fatigue. Approved by the Guild.,Combine Sunset Herb and Honey,6z,2
22,Lifepowder,Medicine created by combining Lifecrystals. Strong restorative power.,Combine Lifecrystals and Wyvern Claw.,315z,4
23,Cricket,Energetic insect that works well as fishing bait.,"Any Bug Thicket, Gathering Quest Reward",1z,1
24,Worm,Nightcrawler for fishing. Use 5 worms to raise soil fertility one level.,"any bug thicket, felyne rewards",2z,1
25,Firefly,A firefly that's always glowing. Works well as fishing bait.,Any Bug Thicket,4z,2
26,Frog,A Frog. Works well as fishing bait.,"Jungle, Old Desert, snowy mountains",15z,2
27,Mega Fishing Fly,"A fly lure that causes a feeding frenzy, no matter what fish is biting.",Bug Thicket no.3 and 4.,3z,3
28,Tuna Bait,Fishing bait that only tuna will eat.,Combine Worm and Yambug.,4z,2
29,Arrowana Bait,Fishing bait that only arrowana will eat.,Combine Bughopper and Cricket.,7z,2
30,Goldenfish Bait,Fishing bait that only goldenfish will eat.,Combine Firefly and Snakebee Larva.,30z,4
31,Sunset Herb,A strange herb with a pleasant smell. Good for combining.,Jungle,2z,2
32,Herb,A plant that restores a slight amount of Health.,"Snowy Mountains, Forest and Hills, Jungle",2z,1
33,Antidote Herb,Field plant with antidotal qualities. Relying on it too heavily poses a risk.,Swamp,2z,1
34,Fire Herb,A plant that has flammable properties.,"Desert, Volcano",4z,2
35,Ivy,A lightweight and extremely strong plant.,"Snowy Mountains, Jungle, Forest & Hills",8z,1
36,Sleep Herb,Plant with sleep-inducing qualities. Can be planted in the field.,Snowy Mountains,5z,1
37,Sap Plant,A plant with leaves coated in sticky sap. Difficult to remove once attached.,"Snowy Mountains, Farm Field",2z,1
38,Felvine,A Melynx favorite. They can't resist its charm.,"Plant seeds in the field, Melynx drop",1z,1
39,Cactus Flower,"Contains antidotal substances, but has no effect by itself.","Desert, Plant seeds in the field",10z,2
40,Hot Pepper,"Ignites a fire after only a single bite. Warms you up, but too hot to handle.","Desert, Volcano",4z,2
41,Dosbiscus,"A large, beautifully coloured flowering plant foreign to this land.",Other Location...,20z,2
42,Honey,Normal honey. Highly nutritious.,"Jungle, Forest & Hills, Great Forest, Snowy Mountains, Pokke Farm",45z,2
43,Giant Corn,Gigantic corn that's hard to grow in this region. Packed with kernels.,Other Location...,500z,5
44,Blue Mushroom,Rare mushroom with a power-enhancing effect.,"Any mushroom patch, Pokke Farm Mushroom Tree",2z,2
45,Nitroshroom,Rare mushroom with the power to generate heat.,"Any mushroom patch, Pokke Farm Mushroom Tree+1",6z,2
46,Parashroom,Mushroom that induces a paralysis effect.,"Any mushroom patch, Pokke Farm Mushroom Tree",15z,3
47,Toadstool,A poisonus fungus. Perhaps it has other effects as well...,"Any mushroom patch, Pokke Farm Mushroom Tree",8z,2
48,Exciteshroom,A mushroom with a very strange smell. What would happen if you ate it...?,"Any mushroom patch, Pokke Farm Mushroom Tree+1",18z,3
49,Dragon Toadstool,A dangerous fungus said to draw the life out of people. Beware.,"Any mushroom patch, Pokke Farm Mushroom Tree+2",40z,3
50,Spicy Mushroom,Special Spicy Mushroom that recovers a small amount of Stamina.,Combine Hot Pepper and Special Mushroom,54z,3
51,Chaos Mushroom,Said to cause chaos. Its spores cause monsters to hallucinate.,Pokke Farm Mushroom Tree,40z,4
52,Huskberry,An empty berry that can grow anywhere. Try planting it in the field.,"Forest and Hills, Jungle",1z,1
53,Paintberry,Releases a smelly paint-like juice when broken. Can be planted.,Jungle,6z,1
54,Power Seed,Temporarily raises Attack power. Short-lived effect if used raw. Plantable.,"Peddling Granny, Desert (Day(Area 6, Seeds or Herbs))",140z,2
55,Armor Seed,Temporarily increases Defense when consumed. Very invigorating.,"Peddling Granny, Snowy Mountains (Area 6, Seeds)",110z,2
56,Dragon Seed,Mysterious berry said to be hated by dragons.,Volcano,78z,2
57,Scatternut,A nut that shatters to pieces when subjected to an impact.,Forest and Hills,4z,2
58,Needleberry,Berry covered in needle-like thorns. Can be made into bullets. Plantable.,Forest and Hills,1z,1
59,Bomberry,A berry that explodes when subjected to an impact.,Volcano,12z,2
60,Frozen Berry,A completely frozen berry. Can provide relief from heat and recover Stamina.,Combine Tropical Berry with Ice Crystal,54z,3
61,Red Seed,A strange red seed of unknown variety. Can be planted in the field.,Pokke Farm; Peddling Granny; Gathering Quest rewards,1z,2
62,Green Seed,A strange green seed of unknown variety. Can be planted in the field.,Pokke Farm; Peddling Granny; Gathering Quest rewards,1z,2
63,Yellow Seed,A strange yellow seed of unknown variety. Can be planted in the field.,Pokke Farm; Peddling Granny; Gathering Quest rewards,25z,4
