,title,goal,area,time,fee,reward,notes,rank
0,Giadrome Assault ,Hunt the Giadrome,Snowy Mountains (Night),50mins,200z,2400z,Required for next Urgent,1
1,The Land Shark ,Hunt the Cephadrome,Desert (Night),50mins,220z,2700z,Required for next Urgent,1
2,The Lurking Desert Giant ,Hunt the Daimyo Hermitaur,Desert (Day),50mins,350z,4200z,Required for next Urgent,1
3,The Mischief Maker ,Hunt the Congalala,Swamp (Night),50mins,350z,4200z,Required for next Urgent,1
4,Master of the Giant Lake,Hunt the Plesioth,Jungle (Night),50mins,450z,5400z,Required for next Urgent,2
5,Evening Hermitaur Sonata,Slay 20 Hermitaurs,Desert (Night),50mins,250z,3000z,Required for next Urgent,2
6,Pincer through the Sky,Hunt the Shogun Ceanataur,Swamp (Day),50mins,500z,6000z,Required for next Urgent,2
7,Trouble in the Forest,Slay 20 Bullfangos,Forest & Hills (Day),50mins,350z,4200z,Required for next Urgent,2
8,The Ioprey Leader,Hunt the Iodrome,Volcano (Night),50mins,350z,4200z,Required for next Urgent,2
9,The Runaway Diablos,Hunt the Diablos,Desert (Day),50mins,600z,6000z,Required for next Urgent,3
10,Valor in the Swamp Zone,Hunt the Gravios,Swamp (Day),50mins,500z,6000z,Required for next Urgent,3
11,The King's Domain,Hunt the Rathalos,Forest & Hills (Day),50mins,500z,6000z,Required for next Urgent,3
12,The Queen's Descent,Hunt the Rathian,Jungle (Day),50mins,450z,5400z,Required for next Urgent,3
13,The Poison Fanged Duo,Hunt 2 Gendromes,Desert (Day),50mins,420z,5100z,Required for next Urgent,4
14,Ultimate Crab Dinner,Hunt 2 Daimyo Hermitaurs,Desert (Day),50mins,620z,8100z,Required for next Urgent,4
15,Trapped by Yian Kut-Ku,Hunt the Yian Kut-Ku and Blue Yian Kut-Ku,Swamp (Night),50mins,600z,7200z,Required for next Urgent,4
16,Conga Counterattack,Hunt the Congalala,Swamp (Night),50mins,420z,5100z,Required for next Urgent,4
17,Two Roars In the Snow,Hunt 2 Blangongas,Snowy Mountains (Night),50mins,1000z,12000z,Required for next Urgent,5
18,Red Shadow in the Swampland,Hunt the Red Khezu,Swamp (Day),50mins,620z,7500z,Required for next Urgent,5
19,The Underwater Terror,Hunt the Green Plesioth,Desert (Day),50mins,620z,7500z,Required for next Urgent,5
20,Eliminate the Rathalos!,Hunt the Rathalos,Forest & Hills (Day),50mins,670z,8100z,Required for next Urgent,5
21,Basarios: Unseen Peril,Hunt the Basarios,Volcano (Day),50mins,570z,6900z,Required for next Urgent,5
22,The Fierce Black Horn,Hunt the Black Diablos,Desert (Day),50mins,750z,9000z,Required for next Urgent,6
23,Black Rock in the Swamp,Hunt the Black Gravios,Swamp (Night),50mins,750z,9000z,Required for next Urgent,6
24,"Blue Sky, Pink Earth",Hunt the Azure Rathalos and Pink Rathian,Forest & Hills (Day),50mins,1500z,18000z,Required for next Urgent,6
25,Deny the Silver Rathalos,Hunt the Silver Rathalos,Tower,50mins,830z,9900z,"Required for next Urgent. Hunt a combined total of 100 Bird, Flying, or Piscine Wyverns (excluding small monsters, and Dromes other than Cephadrome) to unlock.",6
26,Find the Gold Phantom,Hunt the Gold Rathian,Tower,50mins,750z,9000z,"Required for next Urgent. Hunt a combined total of 100 Bird, Flying, or Piscine Wyverns (excluding small monsters, and Dromes other than Cephadrome) to unlock.",6
27,Daimyo of Sengoku Fame,Hunt the Plum D.Hermitaur,Old Desert,50mins,880z,10500z,Required for Urgent Quest,7
28,Old Jungle Lightning,Hunt the Khezu,Old Jungle,50mins,780z,9300z,Required for Urgent Quest,7
29,Eyes in the Underground Lake,Hunt the Plesioth,Old Desert,50mins,800z,9600z,Required for Urgent Quest,7
30,Pelagus Pride,Hunt the Emerald Congalala,Old Jungle,50mins,880z,10500z,Required for Urgent Quest,7
